TALLER,FECHA,CATEGORIA
Ministerio de Cultura,"Marzo 26, 2022",Talleres y especialización
Patrimonio Cultural,"Julio 59, 2021","Formación, Herramientas de autoformación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Industrias culturales y artes,"Junio 09, 2021","Formación, Oferta Educativa Profesional, Talleres y especialización"
Interculturalidad,"Junio 38, 2021","Herramientas de autoformación, Talleres y especialización"
Defensa del Patrimonio,"Junio 23, 2021","Formación, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
"","Abril 26, 2021","ARTES ESCENICAS, Concursos y premios, Estímulos Económicos, Música, Talleres y especialización, Teatro"
"Artes escénicas, visuales y música","Marzo 29, 2021",Talleres y especialización
Libro y la lectura,"Febrero 14, 2021",Talleres y especialización
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
Talleres por el Día Mundial del Teatro 2022,,
Talleres y especialización,,
"",,
“Guía PASE de arte + educación” para docentes de escuela,,
Formación,,
Herramientas de autoformación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
Encuentro del Programa de Artes en la Escuela PASE. Recuperar el contacto. Del 30 de junio al 3 de julio,,
Formación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
NUEVAS MEDIDAS PARA LA REACTIVACIÓN DE LAS ARTES,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
"Ministerio de Cultura lanza convocatoria para participar en el MIC Factoría, Mercado de Industrias Creativas Europa-Latinoamérica",,
Formación,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
"Clases virtuales de diseño de proyectos culturales para los Estímulos Económicos para las artes escénicas, artes visuales y la música 2021",,
ARTES ESCENICAS,,
Concursos y premios,,
Estímulos Económicos,,
Música,,
Talleres y especialización,,
Teatro,,
"",,
Conecta Emprende: Herramientas de gestión y comunicaciones para artistas,,
Talleres y especialización,,
"",,
Programa III ENCUENTRO DE LA RED DE TEATROS DEL PERÚ,,
Talleres y especialización,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Febrero 13, 2021","Formación, Talleres y especialización"
Patrimonio Cultural,"Febrero 58, 2021","Conferencias y ponencias, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
Industrias culturales y artes,"Enero 46, 2021","Conferencias y ponencias, Festivales, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
Interculturalidad,"Noviembre 40, 2020","Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
Defensa del Patrimonio,"Noviembre 30, 2020","Formación, Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
"","Octubre 56, 2020","ARTES ESCENICAS, Conferencias y ponencias, Exposiciones, Formación, Herramientas de autoformación, Ingreso libre, Oferta Educativa Profesional, Oportunidades y recursos, Talleres y especialización, Teatro"
"Artes escénicas, visuales y música","Octubre 01, 2020","ARTES ESCENICAS, artistas, Conferencias y ponencias, Directorio de investigadores, Exposiciones, Formación, Herramientas de autoformación, Ingreso libre, Instituciones de la Red INFOARTES, Investigadores escénicos, Investigadores visuales, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización, Teatro"
Libro y la lectura,"Octubre 29, 2020","Herramientas de autoformación, Oferta Educativa Profesional, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
LISTA DE SELECCIONADOS A TALLERES FAE-LIMA,,
Formación,,
Talleres y especialización,,
"",,
Clases Virtuales programa CONECTA EMPRENDE 2020,,
Conferencias y ponencias,,
Formación,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
TALLERES INTERNACIONALES del FAE Lima 2021,,
Conferencias y ponencias,,
Festivales,,
Formación,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
Encuentro Conecta 2020. Del 10 al 12 de diciembre,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
"ENCUENTRO DE ARTE Y CIUDADANIA. 2, 3 y 4 DE DICIEMBRE",,
Formación,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
"",,
CONECTA EMPRENDE,,
ARTES ESCENICAS,,
Conferencias y ponencias,,
Exposiciones,,
Formación,,
Herramientas de autoformación,,
Ingreso libre,,
Oferta Educativa Profesional,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
PROGRAMA DE ARTES EN LA ESCUELA – PASE,,
ARTES ESCENICAS,,
artistas,,
Conferencias y ponencias,,
Directorio de investigadores,,
Exposiciones,,
Formación,,
Herramientas de autoformación,,
Ingreso libre,,
Instituciones de la Red INFOARTES,,
Investigadores escénicos,,
Investigadores visuales,,
Oferta Educativa Profesional,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
Teatro,,
"",,
Programa CONECTA 2020,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Talleres y especialización,,
 ,,
1,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
